78432,"Dear Pemra Officials, First of all i dont know you will read my this complaint or not, i am here for talking about every TV Channel, i am not even sure that you will take actions against them? channels are showing nudity and vulgarity throgh , Indian dramas and now a days Sexy Contents as well, we cant even watch TV with our family members anymore. They are destroying our culture . Nudity is not modernity Such nude things Indian,drama,ad, movies) must be bannned -Force govt. to open educational channels to teach society, children , adults ,youths about science ,religion and culture -As we are living in islamic country :) so please dont change our mind to be unislamic and secular plzzzzzzzzzzz Block Indian Dramas"
78433,"Dear Pemra Officials, First of all i dont know you will read my this complaint or not, i am here for talking about every TV Channel, i am not even sure that you will take actions against them? channels are showing nudity and vulgarity throgh , Indian dramas and now a days Sexy Contents as well, we cant even watch TV with our family members anymore. They are destroying our culture . Nudity is not modernity Such nude things Indian,drama,ad, movies) must be bannned -Force govt. to open educational channels to teach society, children , adults ,youths about science ,religion and culture -As we are living in islamic country :) so please dont change our mind to be unislamic and secular plz Band indian Dramaz or Aplus"
78434,"Dear Pemra Officials, First of all i dont know you will read my this complaint or not, i am here for talking about every TV Channel, i am not even sure that you will take actions against them? channels are showing nudity and vulgarity throgh , Indian dramas and now a days Sexy Contents as well, we cant even watch TV with our family members anymore. They are destroying our culture . Nudity is not modernity Such nude things Indian,drama,ad, movies) must be bannned -Force govt. to open educational channels to teach society, children , adults ,youths about science ,religion and culture -As we are living in islamic country :) so please dont change our mind to be unislamic and secular plzzzzzzzzzzzzzzz Block Indian Dramas"
78435,"Dear Pemra Officials, First of all i dont know you will read my this complaint or not, i am here for talking about every TV Channel, i am not even sure that you will take actions against them? channels are showing nudity and vulgarity throgh , Indian dramas and now a days Sexy Contents as well, we cant even watch TV with our family members anymore. They are destroying our culture . Nudity is not modernity Such nude things Indian,drama,ad, movies) must be bannned -Force govt. to open educational channels to teach society, children , adults ,youths about science ,religion and culture -As we are living in islamic country :) so please dont change our mind to be unislamic and secular Dear Pemra Officials, First of all i dont know you will read my this complaint or not, i am here for talking about every TV Channel, i am not even sure that you will take actions against them? channels are showing nudity and vulgarity throgh , Indian dramas and now a days Sexy Contents as well, we cant even watch TV with our family members anymore. They are destroying our culture . Nudity is not modernity Such nude things Indian,drama,ad, movies) must be bannned -Force govt. to open educational channels to teach society, children , adults ,youths about science ,religion and culture -As we are living in islamic country :) so please dont change our mind to be unislamic and secular"
78436,"Religious Discrimination, I call the ARY new HQ's, for clarification of new about of Sheikh punishment death Hang they are refused to give clarification and also misbehavior with me, pl do the needful"
78437,"Detrimental to Ideology of Pakistan, Detrimental to Islamic values, Vulgarity, is ma drama ma ohat hi galt batt ki gai hy ka ma to harrm kam koo hall kar ka bachta hnn contract marriage karwa ka please is ko chek karin aur bhohat hi behuda drama hy please take serious action"
78438,","
78439,these channels are not provided by cable operators from the start...they insist to take there costly digital devices to see these channels... take further action asap... all channels should be mandatory for cable operators to show viewers..
78444,"This complaint is being lodged to inform you regarding the racist comments passed by SAMA TV Channel from now and then on Sindhi people by terming Sindh government as ''Saain Sarkar'' as we know that people except Sindhi & Seraikis rest of the people use Saain slang as a derogatory tool to mimic the Sindhi people. it is in only Sindh where these anchors are flaring such remarks, no such remarks/slangs are passed for rest of the ethnicities. No one dare to call Punjab government as ''Ganja Sarkar'' KpK sarkar as ''Akhrot Sarkar'' Balochistan government as ''Bullock Sarkar'' orMuhajar as ''Bhai/Makar Sarkar'' then why do such slangs are only passed against Sindhis. Please take a stern action against the SAMA Tv management, tv anchors and reporters who are seeding the solid of angst between the two largest ethnicities of Sindh. Moreover, it is also believed that they are promoting this hatred and racism for vested political interests. Serve notices to all of the TV Channels to stop passing racist and derogatory remarks against any of the ethnicity and submit a clear SOP by reminding them of their duty."
78449,"The channel name is 8xm and content mostly played is Indian and Western origin. The western songs played are very vulgur with even girls are braless and doing act of smooching which is very adult. On the other hand indian songs played are also very dirty like a movie kya kool hai hum 3, songs are very much promoted, where actors are porn stars and one guy having rocket in his hand pretended to be man tool. what guidlines they are following, Is this allowed in our constitution, From where we are islamic republic... Lots of question come to mind that who are they people those are spreading antistate content to devastate our culture and values... kindly Give them guidliness to play songs but with sensor . No kissing smooching scenes, No dress up like girl in panties and bra or less, with no deep cleavages. No intimate and erotic scenes. for intimate scenes kindly watch aaj phir tum pay pyaar ya hai remix, which is played well on this channel.."
